Aeg,Temperatuur,Niiskus,&Otilde;hur&otilde;hk,Tuulekiirus,Tuulesuund,Sademed,Kiirgusvoog
2021-12-0100:00:00,-7.50154185022,81.0525550661,982.982766667,7.23882147216678,286.398671079713,0,2.06372852796
2021-12-0100:05:00,-7.49901098901,80.8291428571,983.0268,6.50917947606806,286.872337839948,0,2.9263814879
2021-12-0100:10:00,-7.53652747253,81.7125494505,983.005933333,6.21135206048682,281.978419870479,0,2.82552942721
2021-12-0100:15:00,-7.56520879121,82.4864615385,983.042133333,6.28609013647403,284.222537417555,0,2.57499966417
2021-12-0100:20:00,-7.54727472527,82.2545054945,983.0681,6.79390431320198,284.39586164834,0,2.857591959
2021-12-0100:25:00,-7.57365638767,82.6727973568,983.066466667,6.32781605804988,285.605012374974,0,2.77907579027
2021-12-0100:30:00,-7.56344370861,82.8507064018,983.077766667,6.22385018665318,284.032633864206,0,1.76556739116
2021-12-0100:35:00,-7.54401766004,82.6703752759,983.054566667,6.76076731274002,287.654813691942,0,1.67039374979
2021-12-0100:40:00,-7.49876923077,82.1985274725,983.0672,6.61993095294325,286.126766922305,0,2.02058396541
2021-12-0100:45:00,-7.51542035398,82.6690044248,983.105533333,6.49497902186331,284.590107693113,0,1.5391502927
2021-12-0100:50:00,-7.50757174393,82.7656732892,983.156943522,6.19363061923856,286.597443047321,0,1.87686892597
2021-12-0100:55:00,-7.49366445916,82.704415011,983.160533333,6.73954677835012,283.219738020483,0,1.65987012572
2021-12-0101:00:00,-7.47859340659,82.7784615385,983.155833333,6.10149115710887,285.791878710449,0,1.35738732295
2021-12-0101:05:00,-7.49116483516,83.4642857143,983.201633333,6.06441356433053,286.012739078835,0,2.03110830293
2021-12-0101:10:00,-7.5018061674,83.6411674009,983.2337,6.26077278958814,283.51679982948,0,2.23529228729
2021-12-0101:15:00,-7.48135964912,83.5710745614,983.320133333,6.34984545077127,285.416080024017,0,2.15503135603
2021-12-0101:20:00,-7.46402197802,83.5687032967,983.334033333,5.82495027248683,285.44590469324,0,2.21320201142
2021-12-0101:25:00,-7.44303964758,83.4182819383,983.372466667,6.446333441436,284.269851501698,0,2.21828530914
2021-12-0101:30:00,-7.44068281938,83.716938326,983.4345,5.4891506007811,286.476926036374,0,2.15917129851
2021-12-0101:35:00,-7.40246153846,83.3107912088,983.481433333,4.80091942916638,285.217428403403,0,2.01341342029
2021-12-0101:40:00,-7.3807032967,83.369956044,983.518266667,4.07657625247244,291.301689469641,0,1.97065706771
2021-12-0101:45:00,-7.37789823009,83.4407079646,983.603366667,4.78604419015009,286.187466297214,0,1.96249945606
2021-12-0101:50:00,-7.38237885463,83.6132819383,983.652933333,5.62028157836766,289.6466407837,0,2.25648020244
2021-12-0101:55:00,-7.35623348018,83.6933700441,983.7288,4.86556152748866,287.48309449215,0,2.13418515837
2021-12-0102:00:00,-7.3542384106,83.7142384106,983.819733333,5.42511108122323,287.35319509751,0,2.35712078518
2021-12-0102:05:00,-7.36768722467,84.2975550661,983.803866667,4.51944254694524,287.128430999519,0,2.28357774707
2021-12-0102:10:00,-7.36682119205,84.3431346578,983.788366667,4.95805805239337,290.050358370778,0,2.28183334464
2021-12-0102:15:00,-7.35663736264,84.2815604396,983.830566667,4.84692480761714,285.695026817091,0,2.2887704204
